_name,Default Tune,GTV / PintV / XRV - Default Tune,Funwheel X7 - Default Tune,Bowl Tune,Les Carroll - DirtSurferz Tune (May '24),Les Carroll - Mission Clone,Luke Austin - Full Send (Feb '25),Mitch's Chill Street Vibes,Nico - Fast Flow (Oct '23),Nico - Street Growler (June '24),Riley Johnson - Big Tire Float (May '24),Roadboarding's Tune,VESCmann Aggro SF-5 HT,VESCmann Allround,VESCmann Trick,VXwheel,JOKE TUNE: Loosey Goosey (*Try With Caution*),Burnerz - Beast Mode,Sam Varner - The Highlife (no remote)
double_float_version,,,,,,,,,,,,,,,,,,,
double_kp,20,26,30,30,23,18,28,10,20,20,31,33,30,25,25,32,2,24,28
double_kp2,0.6,0.7,0.9,0.3,0.9,0.7,0.8,1,0.8,1,0.6,0.4,0.6,0.3,0.3,0.6,0.2,0.9,1.3
double_kp_brake,1,1,1,0.5,0.7,0.4,1,1,1.2,1.2,1,1,1.2,0.9,0.9,1,1,1,
double_kp2_brake,1,1,1,0.5,0.6,0.3,1,1,0.5,0.1,1,1,1.2,0.9,0.9,1,1,1,
double_ki,0.005,0.005,0.03,0.03,0.015,0.03,0.04,0.005,0.005,0.005,0.1,0.005,0.01,0.03,0.03,0.05,0.001,0.025,0.02
double_ki_limit,30,30,20,20,30,30,30,10,30,30,30,40,20,30,30,30,30,30,30
double_kd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
double_mahony_kp,2,1.9,1.8,3,1.9,2,1.4,2.3,1.8,2,1.8,2,1.8,2,2.5,1.8,3,2,1.8
double_mahony_kp_roll,1.4,1.9,1.8,3,1.9,2,1,2.3,1.4,1.4,1.8,2,1.8,2,2.5,1.8,3,2,1.1
double_booster_angle,8,,0,0,,,,,,,0,7,,0,0,0,,,
double_booster_ramp,4,,2,2,,,,,,,2,4,,2,2,4,,,
double_booster_current,0,0,10,10,0,0,0,0,0,0,20,40,0,10,10,40,0,0,
double_brkbooster_angle,8,,2,,,,,,,,10,7,,0,4,,,,8
double_brkbooster_ramp,4,,4,,,,,,,,8,4,,4,4,,,,10
double_brkbooster_current,0,0,40,0,0,0,0,0,0,0,20,28,0,10,10,0,0,0,20
double_tiltback_constant,0,0,0,4.5,-1.5,0,0,0,0,0,0,0,0,0,0,0,0,1.5,
int_tiltback_constant_erpm,500,,,500,2000,,,,,,,,,,,,,500,
double_tiltback_variable,0.1,0,,1.5,,,,,,,,,,,,,,,
double_tiltback_variable_max,0,0,0,-4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
int_tiltback_variable_erpm,0,,,2000,,,,,,,,,,,,,,,
double_noseangling_speed,5,,,0,1,,,,,,,,,,,,,5,
double_torquetilt_strength,0,0.15,0.07,0.1,0.15,0,0.15,0.15,0.15,0.15,0.1,0.1,0.25,0.1,0.1,0,0,0.09,0.24
double_torquetilt_strength_regen,0.1,0.1,0.07,0,0,0,0,0.15,0,0.05,0.05,0.1,0.25,0.05,0,0,0,0.09,0.24
double_torquetilt_start_current,15,15,15,15,15,,30,5,20,20,15,15,15,15,20,,,15,25
double_torquetilt_angle_limit,8,8,5,5,3.5,,6,8,8,8,5,8,5,5,5,,,7.5,2
double_torquetilt_on_speed,5,5,8,10,10,,7,5,5,10,5,5,15,5,15,,,5,3
double_torquetilt_off_speed,3,3,5,7,8,,5,3,5,8,3,4,3,3,15,,,3,3
double_turntilt_strength,6,6.5,4,0,-3,0,0,0,3,2,6,6,2,2,0,0,0,6,5
double_turntilt_angle_limit,3,4.5,3,4,4,,,,3,3,2,3,3,2,2,,,3,3
double_turntilt_start_angle,2,2,10,10,2,,,,2,2,2,2,10,2,10,,,2,2
int_turntilt_start_erpm,1000,2500,500,2000,100,,,,1000,1000,1000,1000,1500,1000,1000,,,1000,1000
double_turntilt_speed,5,5,3,4,7,,,,5,5,3,5,3,3,3,,,5,0
int_turntilt_erpm_boost,200,200,150,200,200,,,,200,200,200,200,150,200,200,,,200,
int_turntilt_erpm_boost_end,5000,5000,5000,5000,10000,,,,5000,5000,5000,6000,5000,5000,5000,,,5000,
int_turntilt_yaw_aggregate,90,90,90,90,90,,,,90,90,90,90,90,90,90,,,90,
double_atr_strength_up,1,1.2,0.7,1.6,1.8,0.5,1.9,0,0.8,0.7,0.5,1.8,1,1,1,0,0,1,1.5
double_atr_strength_down,1,1.2,0.7,0,0.2,0.2,0.6,0,0.4,0.4,0.5,1.8,0.9,1,1,0.8,0,1,1.3
double_atr_torque_offset,,,,,,,,,,,,,,,,,,,
