_name,ReFloat - Default Tune,ReFloat - VESCmann Allround,Refloat - Full Send,buestad Pint
double_float_version,,,,
double_kp,20,25,28,25
double_kp2,0.6,0.3,0.8,0.3
double_kp_brake,1,0.9,1,0.9
double_kp2_brake,1,0.9,1,0.9
double_ki,0.005,0.03,0.04,0.005
double_ki_limit,30,30,30,30
double_kd,0,0,0,
double_mahony_kp,2,2,1.4,2
double_mahony_kp_roll,1.4,2,1,2
double_booster_angle,8,0,,0
double_booster_ramp,4,2,,2
double_booster_current,0,10,0,10
double_brkbooster_angle,8,0,,0
double_brkbooster_ramp,4,4,,4
double_brkbooster_current,0,10,0,10
double_tiltback_constant,0,0,0,0
int_tiltback_constant_erpm,500,,,500
double_tiltback_variable,0.1,,,0
double_tiltback_variable_max,0,0,0,0
int_tiltback_variable_erpm,0,,,0
double_noseangling_speed,5,,,5
double_torquetilt_strength,0,0.1,0.15,0.1
double_torquetilt_strength_regen,0.1,0.05,0,0.05
double_torquetilt_start_current,15,15,30,15
double_torquetilt_angle_limit,8,5,6,5
double_torquetilt_on_speed,5,5,7,5
double_torquetilt_off_speed,3,3,5,3
double_turntilt_strength,6,2,0,2
double_turntilt_angle_limit,3,2,,2
double_turntilt_start_angle,2,2,,2
int_turntilt_start_erpm,1000,1000,,1000
double_turntilt_speed,5,3,,3
int_turntilt_erpm_boost,200,200,,200
int_turntilt_erpm_boost_end,5000,5000,,5000
int_turntilt_yaw_aggregate,90,90,,90
double_atr_strength_up,1,1,1.9,1
double_atr_strength_down,1,1,0.6,1
double_atr_torque_offset,,,,
double_atr_threshold_up,1.5,1.5,0.5,1.5
double_atr_threshold_down,1.5,1.5,0.8,1.5
double_atr_speed_boost,0.3,0.3,0.3,0.3
double_atr_angle_limit,8,6,10,6
double_atr_on_speed,4,10,8,10
double_atr_off_speed,3,7,5,7
double_atr_response_boost,1.5,1,1.5,1
double_atr_transition_boost,3,1,4,1
double_atr_filter,5,5,5,5
double_atr_amps_accel_ratio,9,12,9,12
double_atr_amps_decel_ratio,8,12,8,12
double_braketilt_strength,0,0,5,0
double_braketilt_lingering,2,,1,2
double_fault_pitch,,,,60
double_fault_roll,,,,60
int_fault_delay_pitch,,,,250
int_fault_delay_roll,,,,250
int_fault_delay_switch_half,,,,400
int_fault_delay_switch_full,,,,450
int_fault_adc_half_erpm,,,,200
bool_fault_is_dual_switch,,,,0
bool_fault_moving_fault_disabled,,,,0
bool_fault_darkride_enabled,,,,0
bool_fault_reversestop_enabled,,,,0
double_tiltback_duty_angle,,,,5
double_tiltback_duty_speed,,,,3
double_tiltback_duty,,,,0.8
double_tiltback_hv_angle,,,,8
double_tiltback_hv_speed,,,,1
double_tiltback_lv_angle,,,,10
double_tiltback_lv_speed,,,,1
double_tiltback_return_speed,,,,2
enum_inputtilt_remote_type,,,,1
double_inputtilt_speed,,,,25
double_inputtilt_angle_limit,,,,10
bool_inputtilt_invert_throttle,,,,1
double_inputtilt_deadband,,,,0.1
double_startup_pitch_tolerance,,,,3
double_startup_roll_tolerance,,,,45
double_startup_speed,,,,30
double_startup_click_current,,,,0
bool_startup_softstart_enabled,,,,
bool_startup_simplestart_enabled,,,,0
bool_startup_pushstart_enabled,,,,0
bool_startup_dirtylandings_enabled,,,,0
double_brake_current,,,,6
int_hertz,,,,800
double_fault_adc1,,,,2.8
double_fault_adc2,,,,2.8
double_tiltback_hv,,,,64.5
double_tiltback_lv,,,,43.5
double_dark_pitch_offset,,,,
bool_is_buzzer_enabled,,,,
bool_is_footbuzz_enabled,,,,
